Year,SMW,Crop_Growth_Week,Location,Longitude,Latitude,JS 95-60,JS-335,Shivalik,JS93-05,Punjab1,PK -472,Bragg,Monetta,NRC-7,PK-262,Gaurav, JS 90-41,Max_Temp,Min_Temp,Max_Humidity,Min_Humidity,No of Rainy days,Rainfall,Wind_Velocity,Disease
2021,27,1,Jabalpur,79.97438,23.185884,0,0,0,0,0,0,0,0,0,0,NA,NA,35.7,26.7,74.7,50.3,1,15,5.3,Charcoal_Rot
2021,28,2,Jabalpur,79.97438,23.185884,0,0,0,0,0,0,0,0,0,0,NA,NA,33.3,25.1,85.1,58.3,2,33.2,3.3,Charcoal_Rot
2021,29,3,Jabalpur,79.97438,23.185884,0,0,0,0,0,0,0,0,0,0,NA,NA,33.4,25.4,84.1,70,3,35.4,3.9,Charcoal_Rot
2021,30,4,Jabalpur,79.97438,23.185884,0,0,0,0,0,0,0,0,0,0,NA,NA,27.7,23.8,94.6,85.1,5,130.4,5.7,Charcoal_Rot
2021,31,5,Jabalpur,79.97438,23.185884,0,0,0,0,0,0,0,0,0,0,NA,NA,26.8,23.4,91.1,84.1,6,43.7,8,Charcoal_Rot
2021,32,6,Jabalpur,79.97438,23.185884,0,0,0,0,0,0,0,0,0,0,NA,NA,28.5,24.2,90,79,2,11.1,6.2,Charcoal_Rot
2021,33,7,Jabalpur,79.97438,23.185884,0,0,0,0,0,0,0,0,0,0,NA,NA,32.6,24.7,89,71,3,42.3,3.3,Charcoal_Rot
2021,34,8,Jabalpur,79.97438,23.185884,2,0,0,0,0,0,0,1.5,0,0,NA,NA,30.7,24.7,87,67,0,2.2,4.3,Charcoal_Rot
2021,35,9,Jabalpur,79.97438,23.185884,14.5,0,6.5,6.5,0,1,2.5,13,0,1.5,NA,NA,31.6,24.5,86,68,0,2.5,3.4,Charcoal_Rot
2021,36,10,Jabalpur,79.97438,23.185884,38,0,17.5,28,4,12,24.5,35.5,0,4.5,NA,NA,31.4,24.1,91,78,4,35.7,3.5,Charcoal_Rot
2021,37,11,Jabalpur,79.97438,23.185884,49,6,28.5,42.5,11,23,37.5,49,1,11.5,NA,NA,30,23.8,93,81,4,100.8,3,Charcoal_Rot
2021,38,12,Jabalpur,79.97438,23.185884,48,12,45.5,46,17.5,51.5,47.5,59,4.5,17.5,NA,NA,30.9,23.6,89,68,2,16.3,3.1,Charcoal_Rot
2021,39,13,Jabalpur,79.97438,23.185884,-,14.5,51,-,18.5,62.5,56.5,69.5,8,17.5,NA,NA,31.9,24.1,88,62,1,3.8,3.3,Charcoal_Rot
2021,27,1,Jabalpur,79.97438,23.185884,0,0,0,0,0,0,0,0,0,0,NA,NA,35.7,26.7,74.7,50.3,1,15,5.3,Yellow_Mosaic
2021,28,2,Jabalpur,79.97438,23.185884,0,0,0,0,0,0,0,0,0,0,NA,NA,33.3,25.1,85.1,58.3,2,33.2,3.3,Yellow_Mosaic
2021,29,3,Jabalpur,79.97438,23.185884,0.31,0.31,0,0.43,0,0.86,0,0.12,0,0,NA,NA,33.4,25.4,84.1,70,3,35.4,3.9,Yellow_Mosaic
2021,30,4,Jabalpur,79.97438,23.185884,5.68,6.36,4.38,7.28,2.41,10.12,2.47,8.52,0.56,1.42,NA,NA,27.7,23.8,94.6,85.1,5,130.4,5.7,Yellow_Mosaic
2021,31,5,Jabalpur,79.97438,23.185884,19.07,16.79,13.39,18.33,7.96,17.84,11.97,23.83,9.26,15,NA,NA,26.8,23.4,91.1,84.1,6,43.7,8,Yellow_Mosaic
2021,32,6,Jabalpur,79.97438,23.185884,24.44,22.59,17.04,27.47,11.6,23.83,15.86,33.64,13.89,17.53,NA,NA,28.5,24.2,90,79,2,11.1,6.2,Yellow_Mosaic
2021,33,7,Jabalpur,79.97438,23.185884,28.27,25,20.92,30.62,13.46,32.22,19.26,40.99,16.17,21.91,NA,NA,32.6,24.7,89,71,3,42.3,3.3,Yellow_Mosaic
2021,34,8,Jabalpur,79.97438,23.185884,29.01,26.97,22.22,31.66,13.76,35.99,20.86,43.15,17.22,25.49,NA,NA,30.7,24.7,87,67,0,2.2,4.3,Yellow_Mosaic
2021,35,9,Jabalpur,79.97438,23.185884,29.2,27.71,22.71,31.97,13.89,36.54,21.3,44.07,17.41,25.62,NA,NA,31.6,24.5,86,68,0,2.5,3.4,Yellow_Mosaic
2021,36,10,Jabalpur,79.97438,23.185884,29.07,28.08,22.9,31.79,13.83,36.79,21.54,44.13,17.59,25.74,NA,NA,31.4,24.1,91,78,4,35.7,3.5,Yellow_Mosaic
2021,37,11,Jabalpur,79.97438,23.185884,-,28.27,22.96,-,13.83,42.71,21.48,44.01,17.41,25.49,NA,NA,30,23.8,93,81,4,100.8,3,Yellow_Mosaic
2021,27,1,Jabalpur,79.97438,23.185884,0,0,0,0,0,0,0,0,0,0,NA,NA,35.7,26.7,74.7,50.3,1,15,5.3,RAB
2021,28,2,Jabalpur,79.97438,23.185884,0,0,0,0,0,0,0,0,0,0,NA,NA,33.3,25.1,85.1,58.3,2,33.2,3.3,RAB
2021,29,3,Jabalpur,79.97438,23.185884,0,0,0,0,0,0,0,0,0,0,NA,NA,33.4,25.4,84.1,70,3,35.4,3.9,RAB
2021,30,4,Jabalpur,79.97438,23.185884,0,0,0,0,0,0,0,0,0,0,NA,NA,27.7,23.8,94.6,85.1,5,130.4,5.7,RAB
2021,31,5,Jabalpur,79.97438,23.185884,0,0,0,0,0,0,0,0,0,0,NA,NA,26.8,23.4,91.1,84.1,6,43.7,8,RAB
